Year,Mo,Dy,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed
2017,4.0,13.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,2.0,,,,,,,,,,
2017,6.0,6.0,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2.0,,,,,,,,,,
2017,7.0,1.0,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,,8.0,,11.0,,,8.0,,11.0,,
2017,9.0,12.0,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,,3.0,,,,,3.0,,,,
2017,9.0,23.0,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,,,,,,,,,,,
2017,12.0,18.0,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,8.0,,8.0,,,8.0,,8.0,,
2017,12.0,27.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,,,,,,,
2018,1.0,5.0,Kadovar,New Guinea-NE of,Papua New Guinea,-3.608,144.588,365,Stratovolcano,2.0,,,,,,,,,,
2018,1.0,13.0,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2.0,,,1972.0,3.564,,,,1972.0,3.564,
2018,1.0,23.0,Kusatsu-Shiranesan,Honshu-Japan,Japan,36.618,138.528,2165,Stratovolcano,1.0,1.0,,11.0,,,1.0,,11.0,,
2018,2.0,1.0,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,1.0,1.0,,3.0,,,1.0,,3.0,,
2018,2.0,9.0,Kadovar,New Guinea-NE of,Papua New Guinea,-3.608,144.588,365,Stratovolcano,2.0,,,,,,,,,,
2018,3.0,21.0,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,,,,30.0,,,,,30.0,,
2018,3.0,30.0,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,3.0,4.0,,,,,4.0,,,,
2018,4.0,28.0,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,1.0,,,1.0,370.0,716.0,,,1.0,370.0,716.0
2018,5.0,6.0,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,,,,,,,,,,
